"","sca_condition","milestone","Q25","Q50","Q75","Q90","norms_sd","cutoff"
"1","Norms","Jumping",21.4,23.8,26.4,28.8,3.55824532441345,16.8258391641496
"2","Norms","Running",13.8,15.8,17.8,19.9,2.9652044370112,9.98819930345804
"3","Norms","Walking",11.1,12.3,13.6,14.9,1.77912266220672,8.81291958207482
"4","Norms","Cruising",8.2,9,10,11,1.18608177480448,6.67527972138321
"5","Norms","Crawling",7.4,8.3,9.3,10.5,1.33434199665504,5.68468968655612
"6","Norms","Sitting",5.4,5.9,6.3,6.8,0.741301109252801,4.44704982586451
"7","Norms","Rolling Back to Front",3.855714,4.8,5.744286,6.594172,1.40000051850378,2.05599898373259
"8","Norms","Rolling Front to Back",2.6557,3.6,4.544286,5.394172,1.40002127493484,0.855958301127713
"9","Norms","2 Word Phrases",17.2,19.8,22.4,25.2,3.85476576811457,12.2446590944955
"10","Norms","First Words",9.7,11.5,13.3,15,2.66868399331008,6.26937937311223
"11","Norms","Babbling",5.8,6.5,7.4,10.1,1.03782155295392,4.46586975621031
"12","Norms","Cooing",0.5,1.1,1.6,2.7,0.889561331103361,-0.643540208962588
